WATERBODY_IDENTIFIER,GAZETTED_NAME,Requested Location (Alias),AREA_HA,PERIMETER_M,ELEVATION_M,LONGITUDE,LATITUDE,DD5,MAP,DD5_01,DD5_02,DD5_03,DD5_04,DD5_05,DD5_06,DD5_07,DD5_08,DD5_09,DD5_10,DD5_11,DD5_12,CountOfSPECIES_NAME,Fishery Objective,Region,assessed_wbid,ID
00319SMAR,TAMARACK LAKE,TAMARACK(LARCH),32.23636789,2500.5158,855,-115.8046713,49.92105018,1626,405,2,7,25,73,178,291,396,375,203,63,10,2,4,Regional,4E,00319SMAR,542
00659KHOR,THREE ISLAND LAKE,THREE ISLAND,25.82177374,3749.098,1528,-116.7833434,51.0112885,905,864,1,2,8,23,72,164,254,242,109,25,3,1,1,Regional,4E,,543
00100COLR,TOPAZ LAKE,TOPAZ,8.0233154,2018.3781,1118,-116.4052593,50.83036034,1253,597,1,4,15,48,132,234,321,303,149,40,5,1,2,Regional,4E,,544
00330SMAR,YANKEE LAKE,TWIN LAKES(YANKEE),6.08757997,1362.786,999,-115.625899,49.91771711,1509,508,2,6,21,63,159,273,373,357,189,56,9,2,1,Regional,4E,,545
00283COLR,UPPER HALGRAVE LAKE,UPPER HALGRAVE,5.89867383,1061.839,1110,-116.2805244,50.73370663,1266,569,1,4,15,48,129,236,325,306,152,42,5,1,2,Regional,4E,,546
00247BULL,WAPITI LAKE,WAPITI,3.92571392,905.0055,820,-115.3679702,49.38404522,1676,501,3,9,28,81,182,289,398,383,214,74,13,3,3,Regional,4E,,547
00372KOTR,WHITESWAN LAKE,WHITESWAN,392.1224659,13040.7817,1144,-115.4732125,50.1458129,1312,555,1,5,15,47,127,241,341,323,159,46,6,2,2,Quality,4E,00372KOTR,548
00831COLR,WHITETAIL LAKE,WHITETAIL,157.4709081,9735.009,1097,-116.0259918,50.21417856,1415,493,1,5,18,52,143,257,359,344,178,49,6,2,2,Trophy,4E,00831COLR,549
00668KHOR,WILBUR LAKE,WILBUR,8.78625974,1548.8101,1297,-116.6800507,51.00961312,1078,752,1,3,12,34,99,200,288,275,130,32,4,1,1,Trophy,4E,,550
00586COLR,WILMER LAKE,WILMER(MUNN),12.19796314,2242.6985,896,-116.0812424,50.54534167,1536,409,1,5,22,71,174,280,373,359,186,55,8,2,2,Regional,4E,,551
00271LARL,BARRETT LAKE,BARRETT,6.70937374,953.2485,1804,-117.3509305,49.34216515,805,1851,2,3,6,17,50,127,224,230,114,26,4,2,2,Regional,4W,,552
00359LARL,,BEAR(BEAR),5.99675453,1585.3522,1100,-117.6468994,49.17032313,1527,878,1,2,10,47,155,260,378,375,221,69,8,1,1,Quality,4W,,553
00167UARL,BEGBIE LAKE,BEGBIE(BUTTERBALL),6.20638934,1298.9652,633,-118.1844657,50.91205513,1638,943,3,8,24,73,195,295,382,368,208,64,13,4,1,Regional,4W,,554
